deserve	 -할 만하다
stripe	줄무늬
striped	줄무늬의
shrink	줄어들다
reduce	줄이다
lessen	줄이다, 완화하다
alleviate	줄이다, 완화하다
medium	중간
halfway	중간의
intermediate	중간의 중간물
gravity	중력
neutral	중립의
medieval	중세(풍)의
among	-중에
important	중요한
significant	중요한
critical	중요한, 위기의
mediate	중재하다
pause	중지
rat	쥐
trouser	즈봉
namely	즉
instant	즉시의
fun	즐거운 생각
joy	즐거움
pleasure	즐거움
entertain	즐겁게 하다
delight	즐겁게하다 즐거워하다
enjoy	즐기다
evidence	증거
steam	증기
proof	증명
certificate	증명서, 자격정, 자격증을 교부하다
certify	증명하다
testify	증명하다
demonstrate	증명하다
witness	증언
donate	증여하다
perceive	지각하다
earth	지구
district	지구
globe	지구, 구
now	지금
due	지급기일이 된
pass	지나가다
intelligence	지능
rent	지대
map	지도
direct	지도하다
tedious	지루한
boredom	지루함
diameter	지름
shortcut	지름길
geography	지리
region	지방
municipality	지방자치단체
dominate	지배하다
pay	지불하다
owe	지불할 의무가 있다
roof	지붕
consistently	지속적으로
hell	지옥
eraser	지우는 사람
applicant	지원자
candidate	지원자
degrade	지위를 낮추다
messy	지저분한
intelligent	지적인
intellectual	지적인
indicate	지적하다
designated	지정된
appoint	지정하다
geology	지질학
expense	지출
guideline	지침
gaze	지켜보다
support	지탱하다
horizon	지평선
subway	지하도
conductor	지휘자, 전도체
mechanic	직공
confront	직면하다
business	직업
profession	직업 공언, 선언, 고백
immediate	직접의
vacuum	진공
diagnose	진단
truth	진리
launch	진수시키다
true	진실
sincere	진실한
cordially	진심으로
serious	진지한
genuine	진짜의
authentic	진짜의
ongoing	진행 중인
procedure	진행, 경과 절차
process	진행, 작용
progress	진행, 전진, 진척  진보, 향상, 발달, 발전
evolution	진화
evolve	진화하다
mud	진흙
quality	질
inquiry	질문, 문의
questionnaire	질문표
choke	질식시키다
trail	질질 끌다
envy	질투
jealous	질투심많은
load	짐
wagon	짐마차
beast	짐승
discharge	짐을부리다
suspect	짐작하다
house	집
group	집단
intensive	집중적인
concentrate	집중하다
rabbit	집토끼
executive	집행의
build	짓다
bark	짖다
dense	짙은
straw	짚
weave	짜다
clap	짝짝
short	짧은
sock	짧은 양말
split	쪼개다
side	쪽
toward	-쪽으로
towards	-쪽으로
chase	쫓다
follow	쫓다
pursue	쫓다, 추적하다, 몰다
distort	찌그러뜨리다
sting	찌르다
tea	차
windshield	차 앞 유리
chill	차가움
garage	차고
discrepancy	차이, 불일치
tenant	차지인
occupy	차지하다
color	착색하다
lapse	착오, 실수
vote	찬부 표시, 투표, 표결
cupboard	찬장
crack	찰싹 소리내다 금가다 날카로운소리
clay	찰흙
participate	참가하다
oak	참나무
tolerate	참다
indeed	참으로
spear	창
window	창
warehouse	창고
pale	창백한
creation	창조
creature	창조물
creative	창조적인
create	창조하다
seek	찾다
search	찾다
channel	채널, 경로
vegetarian	채식주의자
adopt	채용하다
whip	채찍 채찍질하다
book	책
volume	책  권
trick	책략
blame	책망하다
desk	책상
responsible	책임을 져야할
virgin	처녀, 동정녀, 미혼 여성, 동정녀 마리아
transact	처리하다
liquidate	처분하다, 청산하다
initial	처음의
cloth	천
fabric	천
thousand	천
millennium	천년
astronomy	천문학
angel	천사
ceiling	천장
genius	천재
disaster	천재
vocation	천직, 사명 직업, 생업, 장사  적성, 소질, 재능
wire	철사
spell	철자하다
philosophy	철학
high-tech	첨단 과학 기술의
cutting-edge	첨단의
primary	첫째의, 제1위의, 수위의 초등의, 초보의
clean	청결한
adolescent	청년기의
jeans	청바지
blueprint	청사진
juvenile	청소년의
sweep	청소하다
audience	청중
auditorium	청중
beg	청하다
checked	체크무늬의
arrest	체포하다
draft	초고
excess	초과
invite	초대하다
incur	초래하다, 발생시키다
green	초록색
novice	초보자
portrait	초상
focus	초점
meadow	초지
gun	총
sum	총계
total	총계 전체의 합계하다
gross	총계의
supreme	최고의
maximum	최고점
recent	최근의
utmost	최대의
minimum	최소 한도
minimal	최소(한도)의
final	최후의
ultimate	최후의
add	추가하다
infer	추론하다
scandal	추문
abstract	추상적인
cold	추운
reference	추천서
nominate	추천하다
recommend	추천하다
guess	추측(짐작)하다
ugly	추한
soccer	축구
football	축구
bless	축복하다
abbreviate	축약하다, 단축하다
accumulate	축적하다
feast	축제
festive	축제의
wet	축축한
damp	축축한 습기 적시다
congratulate	축하하다
exit	출구
departure	출발
depart	출발하다
birth	출생
attend	출석하다
of	출신의
entrance	출입구
advert	출현
impact	충격
monitor	충고자
advise	충고하다
bump	충돌 부딪치다
clash	충돌하다
collide	충돌하다
enough	충분한
sufficient	충분한
adequate	충분한, 적절한
loyal	충성스러운
hobby	취미
cancel	취소하다
aisle	측면복도
layer	층
story	층
dentist	치과의사
beat	치다
knock	치다
strike	치다
cure	치료
remedy	치료
therapy	치료법
fatal	치명적인
deadly	치명적인
soar	치솟다
dimension	치수
bias	치우침
friend	친구
intimate	친밀한
kind	친절한
relative	친척
autograph	친필,서명
familiar	친한
bed	침대
couch	침대
aggressive	침략적인
bedroom	침실 성적인
spit	침을 뱉다
invade	침입하다
praise	칭찬
compliment	칭찬
curry	카레요리 카레로 맛을 내다
sword	칼
collar	칼라
great	커다란
curtain	커어튼
nose	코
elephant	코끼리
sniff	코를 킁킁거리다
cope	코우프(성직자의 긴 겉옷)
bean	콩
cookie	쿠키
chef	쿡
size	크기
cricket	크리켓
big	큰
large	큰
bough	큰 가지
aloud	큰 소리로
blunder	큰 실수
fiasco	큰 실수, 대실패
major	큰쪽의
club	클럽
tall	키큰
giggle	킥킥웃다
native	타고난
glow	타다
ride	타다
corrupt	타락한
oval	타원형(의)
compromise	타협 타협하다
carbohydrate	탄수화물
bullet	탄환
greed	탐욕
expedition	탐험
explore	탐험하다
tower	탑
attitude	태도
fetus	태아
sun	태양
solar	태양의
cab	택시
tunnel	터널
jaw	턱
chin	턱(끝) 턱에 대다
beard	턱수염
hair	털
table	테이블
tape	테이프
debate	토론 토론하다
discuss	토론하다
estate	토지
vomit	토하다
pat	톡톡 가볍게 치다
gear	톱니바퀴
statistics	통계(학)
statistic	통계의 통계량
notify	통고하다
commute	통근하다
log	통나무
currency	통용
notice	통지, 통보
insight	통찰(력)
integrate	통합하다
passage	통행, 통과
retire	퇴직하다
input	투입
invest	투자하다
conflict	투쟁
poll	투표
splash	튀기다
flip	튀기다 홱 움직이다 튀기기
privilege	특권, 특전, 특별 취급
special	특별한
peculiar	특별한
trait	특성
corps	특수부대, 단체
particular	특수한
characteristic	특유한
specific	특정한
especially	특히
mistake	틀리다
leisure	틈
corn	티눈
delegate	파견하다
destruction	파괴
destroy	파괴하다
dig	파다
ruin	파멸
crisp	파삭파삭한
bankrupt	파산자
burst	파열하다
debris	파편
plate	판
copyright	판권
judgement	판단, 심판
pool	판돈
sale	판매
panel	판벽널
arm	팔
elbow	팔꿈치
sell	팔다
pop	팝
defeat	패배
scoop	퍼내다, 국자
flutter	퍼덕거리다
pump	펌프스   댄스용 구두
pub	펍
expand	펴다
spread	펴다
prejudice	편견, 선입관
conveniently	편리하게
convenient	편리한
letter	편지
edit	편집하다
compile	편찬하다
flat	편평한
evaluate	평가하다
assess	평가하다, 감정하다
average	평균
equality	평등
usual	평소의
calm	평온한
reputation	평판
parallel	평행의
peace	평화
junk	폐물고물, 내버리다
overall	포괄(전면)적인 덧옷
grape	포도
poster	포스터
embrace	포옹하다
mammal	포유류
pavement	포장도로
pocket	포켓
include	포함하다
comprise	포함하다
wide	폭넓은
riot	폭동, 소요, 소동   야단법석, 다채로움,
violence	폭력
explode	폭발시키다
bomb	폭탄 폭격하다
explosion	폭팔
storm	폭풍
pole	폴란드사람
mark	표
surface	표면
bleach	표백하다
title	표제
caption	표제
norm	표준
standard	표준
normal	표준(의)
represent	표현(묘사)하다
expressive	표현하는
blue	푸른
undone	푼, 마치지 않은
grass	풀밭
loose	풀어진
graze	풀을 먹다
landscape	풍경
abundant	풍부한
freelancer	프리렌서
blood	피
defendant	피고 피고의
shelter	피난처
feedback	피드백
tire	피로하게 하다
tyre	피로하게 하다
bleed	피를 흘리다
skin	피부
superficial	피상적인
avoid	피하다
inevitable	피할 수 없는
pin	핀 핀으로 꽂다
necessity	필수품
need	필요
necessary	필요한
pretend	핑계삼다
one	하나(의)
unify	하나로 하다
a	하나의
sky	하늘
heaven	하늘
do	하다
destined	하도록 운명 지워진
sewage	하수 오물
unless	-하지 않으면
yawn	하품(하다)
lesson	학과
school	학교
semester	학기
study	학문
student	학생
academy	학술원
graduate	학위를 수여하다
scholar	학자
gang	한 떼
stitch	한 바늘
span	한 뼘
couple	한 쌍
piece	한 조각
midst	한가운데
idle	한가한
pace	한걸음
uniform	한결같은
limit	한계
once	한번
stroke	한번치기
middle	한복판의
sigh	한숨
pair	한쌍
finite	한정되어 있는
able	할 수 있는
capable	할 수 있는
can	할 수 있다
intend	-할 작정이다
assign	할당하다
allocate	할당하다
grandfather	할아버지
discount	할인
premium	할증금,  액면 초과액, 프리미엄
scratch	할퀴다, 할퀴어 상처 를 내다  긁다
with	함께
imply	함축하다
incorporate	합동시키다
rational	합리적인
reasonable	합리적인
legitimate	합법의
merge	합병하다
complex	합성물
chorus	합창
aircraft	항공기
harbor	항구
harbour	항구
port	항구, 항만, 상항
harm	해
solve	해결하다
navy	해군(력)
solution	해법,해답,용액
disperse	해산시키다, 분산시키다
interpret	해석하다
beach	해안
must	-해야 한다
oversea	해외(로부터)의
overseas	해외(로부터)의
cable	해저전신
injure	해치다
core	핵심
nuclear	핵의, 핵을 형성하는 원자핵의
behavior	행동
behaviour	행동
act	행동하다
behave	행동하다
welfare	행복
planet	행성
happy	행운의
deed	행위
scent	향기
enhance	향상하다
homesick	향수병의
permit	허가하다
chore	허드렛일, 
allow	허락하다
permissible	허용되는, 허용할 수 있는
nonsense	허튼 소리
constitution	헌법, 체질
dedication	헌신
baggy	헐렁한
barn	헛간
wander	헤매다
swim	헤엄치다
helicopter	헬리콥터
tongue	혀
revolution	혁명
cash	현금 현금으로 바꾸다 현금의
modern	현대의
contemporary	현대의
microscope	현미경
phenomenon	현상
banner	현수막
reality	현실
actual	현실의
realistic	현실적인, 사실적인
cooperate	협동하다
threat	협박
association	협회, 관련
type	형
formation	형성
formal	형식상의
brother	형제
comet	혜성
severe	호된
tiger	호랑이
slim	호리호리한
lake	호수
escort	호위하다
favor	호의
favour	호의
gorgeous	호화로운
or	혹은
soul	혼
chaos	혼돈
mess	혼란
turmoil	혼란, 소란
confuse	혼란시키다
wedding	혼례
lone	혼자의
congestion	혼잡, 막힘
congest	혼잡하게 하다
mixture	혼합물
blend	혼합하다
publicity	홍보, 주목
flood	홍수
provoke	화나게 하다
freight	화물
volcano	화산
arrow	화살
fossil	화석
make-up	화장, 구성
toilet	화장실
restroom	화장실
cosmetic	화장품
coin	화폐
chemistry	화학
chemical	화학의
reconciliation	화해
reconcile	화해시키다
admantly	확고하게
steady	확고한
amplify	확대하다
establish	확립하다
microphone	확성기
convince	확신시키다
certain	확신하는
confident	확신하는
sure	확신하는, 확실한 , 틀림없는
verify	확인하다
confirm	확인하다
environment	환경
circumstance	환경
refund	환불하다
fantasy	환상, 공상영화
fantastic	환상적인
illusion	환영
welcome	환영 환영받는
lively	활기찬
activate	활동적으로 하다
active	활동적인,적극적인
yellow	황색의 황색
bull	황소
wilderness	황야
fascinate	황홀케 하다
accountant	회계사
hall	회관
corporation	회사, 법인
grey	회색의
retrieve	회수하다
affiliate	회원으로 가입시키다
council	회의
congress	회의
conference	회의
minutes	회의록, 의사록
switch	회초리
conversation	회화
acquisition	획득
effective	효과적인
burden	후렴
after	후에
sponsor	후원자
retreat	후퇴
discipline	훈련
fine	훌륭한
steal	훔치다
interrupt	훼방놓다
stir	휘젓다
whistle	휘파람
vacation	휴가
rest	휴식
holiday	휴일
marvelous	휼륭한
imitate	흉내내다
simulate	흉내내다
fierce	흉포한
flow	흐르다
swing	흔들리다
shake	흔들어 움직이다
pupil	흔히 국민학교 중학교 학생
glance	흘긋 봄
glimpse	흘끗 봄
shed	흘리다
soil	흙
absorb	흡수하다
interest	흥미
intriguing	흥미를 자아내는
excitement	흥분
excite	흥분시키다
rare	희귀한
comedy	희극
hope	희망
helpless	희망 없는, 가능성 없는
sparsely	희박하게, 드문드문
sacrifice	희생
victim	희생, 산 제물, 인신 제물
casualty	희생자
white	흰
force	힘
might	힘
power	힘
